id,review,rating,timestamp
1,"sdh dichat sblm nya utk minta kirim 2 hitam putih dan 1 hitam, penjual sdh blg ok.. pas order jg sy sdh tulis lg di catatan order nya minta 2 hitam putih dan 1 hitam, tetapi kenyataan nya tetep aja dikirim nya 3 hitam putih semua.. penjual suruh return/komplain jg tp sy pikir ribet lah pdhl sy sdh konfirm di chat dan tulis di catatan order jg.. jd ywdh sy biarin aja.. lain kali lebih teliti lg aja ya gan.. tks",2,5 bulan lalu
1,bagus .. sayang kecil tipis buat kaki dewasa 43.,4,Lebih dari 1 tahun lalu
1,agak tipis beda beli sm toko sbelahh,3,Lebih dari 1 tahun lalu
1,"tipis, licin, jahitan bradul",1,Lebih dari 1 tahun lalu
1,sempit,3,Lebih dari 1 tahun lalu
1,yg dikirim warna putih semua,4,2 minggu lalu
2,"Barnag bagus , cepat sampai , packing rapi dan ciamik , 😆😆😆🔥🔥👍👍👍",5,2 minggu lalu
2,keren sekali bisa request gambar sesuka hati kita,5,1 bulan lalu
3,"kualitas barang cukup baik, namun pada tripod head itu goyang/ tidak kokoh. seperti di video yang saya rekam ini screw mount tidak langsung keluar saat ditarik tuas penguncinya karena kurang longgar atau seperti nyangkut gitu. untuk fitur sudah lengkap ada pengait untuk menaruh pemberat dibawah tripodnya, kaki tripod saat dibuka penguncinya tidak langsung turun, tripod lain langsung turun saat dibuka pengunci ketinggian kakinya",4,6 bulan lalu
3,"di bagian plastiknya kurang rapih ada debu atau apalah itu kayak bekas retur orang, ada retakan juga, kemarin beli yang raiz-204 ga gitu² banget, tolong di kondisikan. selebihnya oke lah banyak fitur yg bagus",5,11 bulan lalu
3,"tripodnya bagus kokoh harganya gk terlalu mahal pula. Udah di pakai 6 bulan masih bagus seperti baru. Yang paling top itu customer servicenya si, saya ada masalah di tripod langsung fast repond, friendly parah, dan di jelaskan perlahan-lahan dan kirim videonya pula untuk merbaikinnya. Gokil si. Salut takara sukses selalu min 👊",5,2 bulan lalu
3,packing kuat rapih ada bubble warp pengiriman cepat barangnya kokoh dan tebal harga dan kualitas barang sesuai,5,7 bulan lalu
3,pengiriman aman dan barangnya berfungsi dengan baik. kualitas oke dan kokoh.,5,10 bulan lalu
3,"Bahannya tebal, kuat, sambungannya kokoh.",5,9 bulan lalu
3,Produk sesuai deskripsi Tripodnya kokoh packingnya aman 📦,5,Lebih dari 1 tahun lalu
3,"Lumayan tinggi, kuat, kokoh, kaki dari besi aluminium, bukan plastik, keren, melebihi ekspetasi",5,1 bulan lalu
3,"rekomendasi, cukup banget dan ok mantap punya barang",5,11 bulan lalu
3,"mantap, ukuran sesuai deskripsi dan kuat",5,3 bulan lalu
3,"kualitas barang cukup baik, namun pada tripod head itu goyang/ tidak kokoh. seperti di video yang saya rekam ini screw mount tidak langsung keluar saat ditarik tuas penguncinya karena kurang longgar atau seperti nyangkut gitu. untuk fitur sudah lengkap ada pengait untuk menaruh pemberat dibawah tripodnya, kaki tripod saat dibuka penguncinya tidak langsung turun, tripod lain langsung turun saat dibuka pengunci ketinggian kakinya",4,6 bulan lalu
